#{"t_start": 1764870135.157609, "env_id": "LunarLanderContinuous-v2"}
r,l,t
-896.559275,102,607.794676
-691.081979,72,609.323571
-555.141008,59,610.410493
-538.877426,85,611.920387
-556.703504,90,613.446319
-751.393326,78,614.886218
-956.325653,83,616.634068
-595.747878,75,618.160956
-721.71427,71,619.505857
-606.886184,69,620.889757
-902.800705,90,622.391653
-620.533702,85,623.928548
-476.417176,81,625.245492
-661.36302,68,626.49237
-601.408073,63,627.553332
-657.986271,89,629.072191
-767.800172,73,630.332096
-712.064435,68,631.465017
-518.765259,63,632.640935
-516.263682,58,633.60487
-495.648589,72,634.880817
-644.461631,66,636.039727
-412.518274,67,637.174618
-842.634991,81,638.594522
-565.669608,59,639.60945
-513.06227,81,640.981362
-526.773297,58,642.051274
-509.429758,88,643.488174
-619.147047,74,644.675093
-582.238299,66,645.876009
-923.263047,79,647.161917
-829.406406,77,648.493824
-630.852162,64,649.604785
-531.800116,80,651.067646
-594.993716,61,652.106609
-881.705068,99,653.809461
-611.306896,77,655.163359
-459.442506,72,656.512264
-675.744853,68,657.821173
-569.337332,78,659.272071
-729.817666,78,660.578982
-807.624451,79,662.068872
-865.221698,90,663.729792
-541.467217,80,665.079666
-539.145739,60,666.09259
-505.374231,65,667.304512
-625.262794,81,668.685408
-832.575165,85,670.17331
-815.824337,76,671.642242
-828.04465,74,672.892112
-977.363545,86,674.249023
-404.976551,78,675.584924
-780.584831,88,677.244813
-790.772141,84,678.684713
-776.202043,105,680.43259
-812.756612,105,682.233499
-730.768202,96,683.815347
-769.212243,86,685.418235
-662.96653,70,686.622152
-603.975802,114,688.533016
-807.67048,78,689.869927
-627.784617,67,691.036889
-839.796873,88,692.771719
-809.687422,87,694.431602
-663.4588,83,695.738514
-870.085549,85,697.311403
-761.415365,74,698.689347
-661.462938,101,700.32723
-1009.07203,84,701.961075
-612.691514,64,703.236987
-598.433985,72,704.717883
-529.376133,77,706.243778
-559.848145,88,707.885664
-908.60547,85,709.486548
-892.287695,84,711.034446
-575.619606,71,712.368351
-726.129504,71,713.984235
-538.471977,83,715.883138
-739.223335,75,717.295003
-898.229567,78,718.855904
-709.874042,81,720.315789
-628.941306,75,721.638737
-625.496839,78,723.313581
-664.565982,85,724.736483
-752.896079,123,726.942324
-749.250122,74,728.389225
-784.012409,71,729.752167
-407.550942,92,731.379052
-852.174483,75,732.846948
-674.519318,84,734.4558
-1060.941554,87,736.212679
-606.256375,86,738.070582
-825.251247,75,739.619439
-589.560511,77,741.46031
-425.696213,73,743.073234
-851.776589,95,744.823071
-455.666588,88,746.372966
-661.44574,79,747.711874
-888.247937,82,749.190765
-843.169443,80,750.554711
-519.492052,73,751.742588
-590.756285,75,752.950504
-818.537019,99,754.619385
-791.465269,94,756.139277
-458.428971,70,757.312196
-658.794851,75,758.578107
-733.635529,74,759.919015
-913.700703,103,761.628934
-796.93741,74,762.865804
-954.4045,89,764.319705
-839.048728,78,765.869601
-479.964035,87,767.80346
-334.658241,92,769.79633
-824.510333,75,771.665192
-934.789357,86,773.770041
-726.272473,95,776.45086
-833.797883,83,778.701697
-826.384359,78,780.340582
-283.954115,94,782.069465
-866.275696,79,783.428365
-587.412488,88,784.999257
-517.17099,96,786.705139
-762.453151,93,788.250029
-587.82313,102,790.142895
-724.476467,81,791.62179
-289.246838,86,793.103692
-213.196685,97,794.863569
-890.288788,85,796.321461
-714.956608,76,797.685366
-120.034318,96,799.347251
-852.961908,94,801.170156
-876.123035,82,802.828009
-927.953318,93,804.854868
-823.062743,78,806.354764
-765.675325,70,807.804659
-114.401126,110,809.99451
-240.391032,100,812.031382
-919.28407,84,813.679273
-800.044961,76,815.200178
-224.014465,86,817.016012
-837.164178,77,818.426917
-867.208653,80,819.809819
-531.363786,80,821.107727
-612.586193,116,823.181577
-773.131823,74,824.43449
-51.444812,101,826.17737
-87.437417,105,827.970242
-798.190568,74,829.176157
-684.959566,84,830.574098
-281.083494,111,832.468934
-702.808069,85,833.945824
-774.538298,81,835.307769
-809.313094,74,836.660633
-795.535609,79,837.983541
-859.652488,77,839.262453
-870.415176,85,840.701398
-92.51383,100,842.339237
-816.581729,80,843.745135
-238.496492,93,845.42802
-793.299447,77,846.727931
-691.197252,88,848.178827
-758.916592,81,849.488736
